t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,tau,x_roll
8.4100,-0.014420,-0.002790,-0.029904,-0.0842,0.0028,-0.2092,0.01,0.000007
8.4200,-0.015246,-0.002759,-0.031964,-0.0814,0.0033,-0.2034,0.01,0.000007
8.4300,-0.016044,-0.002723,-0.033964,-0.0784,0.0038,-0.1972,0.01,0.000007
8.4400,-0.016812,-0.002682,-0.035900,-0.0753,0.0043,-0.1906,0.01,0.000007
8.4500,-0.017547,-0.002636,-0.037769,-0.0721,0.0048,-0.1837,0.01,0.000007
8.4600,-0.018250,-0.002585,-0.039566,-0.0687,0.0053,-0.1764,0.01,0.000007
8.4700,-0.018919,-0.002529,-0.041289,-0.0653,0.0058,-0.1688,0.01,0.000007
8.4800,-0.019551,-0.002468,-0.042933,-0.0616,0.0063,-0.1609,0.01,0.000007
8.4900,-0.020147,-0.002403,-0.044497,-0.0579,0.0067,-0.1527,0.01,0.000007
8.5000,-0.020705,-0.002333,-0.045977,-0.0541,0.0072,-0.1442,0.01,0.000007
8.5100,-0.021224,-0.002260,-0.047371,-0.0501,0.0076,-0.1354,0.01,0.000007
8.5200,-0.021704,-0.002182,-0.048675,-0.0461,0.0080,-0.1263,0.01,0.000007
8.5300,-0.022142,-0.002100,-0.049888,-0.0420,0.0084,-0.1171,0.01,0.000007
8.5400,-0.022539,-0.002014,-0.051007,-0.0378,0.0087,-0.1076,0.01,0.000007
8.5500,-0.022893,-0.001924,-0.052029,-0.0335,0.0091,-0.0979,0.01,0.000007
8.5600,-0.023205,-0.001831,-0.052954,-0.0292,0.0094,-0.0880,0.01,0.000007
8.5700,-0.023473,-0.001735,-0.053779,-0.0248,0.0098,-0.0780,0.01,0.000007
8.5800,-0.023697,-0.001636,-0.054503,-0.0204,0.0101,-0.0678,0.01,0.000007
8.5900,-0.023876,-0.001534,-0.055124,-0.0159,0.0103,-0.0575,0.02,0.000007
8.6000,-0.024010,-0.001429,-0.055642,-0.0114,0.0106,-0.0471,0.02,0.000007
8.6100,-0.024100,-0.001322,-0.056055,-0.0069,0.0108,-0.0366,0.02,0.000007
8.6200,-0.024144,-0.001212,-0.056363,-0.0024,0.0111,-0.0260,0.02,0.000007
8.6300,-0.024143,-0.001100,-0.056564,0.0021,0.0113,-0.0154,0.02,0.000007
8.6400,-0.024097,-0.000986,-0.056660,0.0067,0.0115,-0.0048,0.02,0.000007
8.6500,-0.024006,-0.000871,-0.056649,0.0112,0.0116,0.0059,0.02,0.000007
8.6600,-0.023869,-0.000754,-0.056531,0.0157,0.0118,0.0165,0.02,0.000007
8.6700,-0.023688,-0.000635,-0.056308,0.0201,0.0119,0.0271,0.02,0.000007
8.6800,-0.023462,-0.000516,-0.055979,0.0245,0.0120,0.0377,0.02,0.000007
8.6900,-0.023193,-0.000395,-0.055544,0.0289,0.0121,0.0481,0.02,0.000007
8.7000,-0.022880,-0.000274,-0.055006,0.0332,0.0121,0.0585,0.02,0.000007
8.7100,-0.022524,-0.000153,-0.054365,0.0375,0.0122,0.0687,0.02,0.000007
8.7200,-0.022126,-0.000031,-0.053621,0.0417,0.0122,0.0789,0.02,0.000007
8.7300,-0.021686,0.000091,-0.052778,0.0458,0.0122,0.0888,0.02,0.000007
8.7400,-0.021206,0.000213,-0.051835,0.0498,0.0122,0.0987,0.02,0.000007
8.7500,-0.020687,0.000334,-0.050795,0.0537,0.0121,0.1083,0.02,0.000007
8.7600,-0.020128,0.000455,-0.049661,0.0576,0.0121,0.1177,0.02,0.000007
8.7700,-0.019532,0.000575,-0.048433,0.0613,0.0120,0.1269,0.02,0.000007
8.7800,-0.018899,0.000694,-0.047116,0.0649,0.0119,0.1358,0.02,0.000007
8.7900,-0.018231,0.000812,-0.045710,0.0684,0.0117,0.1445,0.02,0.000007
8.8000,-0.017529,0.000929,-0.044218,0.0717,0.0116,0.1529,0.01,0.000007
8.8100,-0.016794,0.001044,-0.042644,0.0749,0.0114,0.1610,0.01,0.000007
8.8200,-0.016027,0.001157,-0.040991,0.0780,0.0112,0.1688,0.01,0.000007
8.8300,-0.015231,0.001268,-0.039261,0.0809,0.0110,0.1763,0.01,0.000007
8.8400,-0.014406,0.001377,-0.037458,0.0837,0.0108,0.1835,0.01,0.000007
8.8500,-0.013555,0.001483,-0.035585,0.0863,0.0105,0.1903,0.01,0.000007
8.8600,-0.012678,0.001587,-0.033646,0.0888,0.0102,0.1968,0.01,0.000007
8.8700,-0.011777,0.001688,-0.031644,0.0911,0.0099,0.2029,0.01,0.000007
8.8800,-0.010854,0.001785,-0.029583,0.0932,0.0096,0.2086,0.01,0.000007
8.8900,-0.009912,0.001880,-0.027468,0.0951,0.0093,0.2139,0.01,0.000007
8.9000,-0.008950,0.001971,-0.025301,0.0969,0.0089,0.2189,0.01,0.000007
8.9100,-0.007973,0.002058,-0.023087,0.0985,0.0086,0.2234,0.01,0.000007
8.9200,-0.006980,0.002142,-0.020831,0.0999,0.0082,0.2275,0.01,0.000007
8.9300,-0.005974,0.002221,-0.018535,0.1011,0.0078,0.2311,0.01,0.000007
8.9400,-0.004958,0.002297,-0.016206,0.1021,0.0073,0.2344,0.01,0.000007
8.9500,-0.003932,0.002368,-0.013846,0.1029,0.0069,0.2372,0.01,0.000007
8.9600,-0.002899,0.002434,-0.011461,0.1036,0.0065,0.2395,0.01,0.000007
8.9700,-0.001861,0.002496,-0.009055,0.1040,0.0060,0.2414,0.01,0.000007
8.9800,-0.000819,0.002553,-0.006633,0.1042,0.0055,0.2429,0.00,0.000007
8.9900,0.000223,0.002606,-0.004198,0.1043,0.0050,0.2439,0.00,0.000007
9.0000,0.001265,0.002653,-0.001756,0.1041,0.0045,0.2444,0.00,0.000007
9.0100,0.002305,0.002695,0.000689,0.1038,0.0040,0.2445,0.00,0.000007
9.0200,0.003340,0.002732,0.003133,0.1032,0.0035,0.2442,0.00,0.000007
9.0300,0.004369,0.002764,0.005570,0.1025,0.0029,0.2433,0.00,0.000007
9.0400,0.005389,0.002791,0.007997,0.1016,0.0024,0.2420,0.00,0.000007
9.0500,0.006399,0.002812,0.010408,0.1005,0.0019,0.2403,-0.00,0.000007
9.0600,0.007396,0.002828,0.012800,0.0992,0.0013,0.2381,-0.00,0.000007
9.0700,0.008380,0.002838,0.015167,0.0977,0.0008,0.2355,-0.00,0.000007
9.0800,0.009347,0.002843,0.017505,0.0960,0.0002,0.2324,-0.00,0.000007
9.0900,0.010297,0.002842,0.019810,0.0941,-0.0003,0.2289,-0.00,0.000007
9.1000,0.011228,0.002836,0.022078,0.0921,-0.0009,0.2250,-0.00,0.000007
9.1100,0.012137,0.002824,0.024304,0.0899,-0.0014,0.2206,-0.00,0.000007
9.1200,0.013023,0.002807,0.026484,0.0875,-0.0019,0.2158,-0.01,0.000007
9.1300,0.013885,0.002785,0.028615,0.0850,-0.0025,0.2107,-0.01,0.000007
9.1400,0.014720,0.002757,0.030691,0.0823,-0.0030,0.2051,-0.01,0.000007
9.1500,0.015527,0.002724,0.032709,0.0795,-0.0035,0.1991,-0.01,0.000007
9.1600,0.016306,0.002686,0.034666,0.0765,-0.0040,0.1928,-0.01,0.000007
9.1700,0.017053,0.002643,0.036557,0.0733,-0.0045,0.1861,-0.01,0.000007
9.1800,0.017768,0.002595,0.038380,0.0700,-0.0050,0.1790,-0.01,0.000007
9.1900,0.018450,0.002541,0.040130,0.0666,-0.0055,0.1717,-0.01,0.000007
9.2000,0.019097,0.002484,0.041805,0.0631,-0.0060,0.1640,-0.01,0.000007
9.2100,0.019709,0.002421,0.043400,0.0595,-0.0064,0.1559,-0.01,0.000007
9.2200,0.020283,0.002354,0.044914,0.0557,-0.0069,0.1476,-0.01,0.000007
9.2300,0.020819,0.002283,0.046344,0.0518,-0.0073,0.1391,-0.01,0.000007
9.2400,0.021315,0.002208,0.047686,0.0479,-0.0077,0.1302,-0.01,0.000007
9.2500,0.021772,0.002128,0.048938,0.0438,-0.0081,0.1211,-0.01,0.000007
9.2600,0.022188,0.002045,0.050098,0.0397,-0.0085,0.1118,-0.01,0.000007
9.2700,0.022562,0.001958,0.051164,0.0355,-0.0089,0.1023,-0.01,0.000007
9.2800,0.022894,0.001868,0.052133,0.0312,-0.0092,0.0926,-0.01,0.000007
9.2900,0.023183,0.001774,0.053005,0.0269,-0.0095,0.0827,-0.01,0.000007
9.3000,0.023428,0.001677,0.053777,0.0226,-0.0098,0.0726,-0.01,0.000007
9.3100,0.023629,0.001577,0.054447,0.0181,-0.0101,0.0625,-0.02,0.000007
9.3200,0.023786,0.001474,0.055015,0.0137,-0.0104,0.0522,-0.02,0.000007
9.3300,0.023898,0.001369,0.055480,0.0092,-0.0107,0.0418,-0.02,0.000007
9.3400,0.023966,0.001261,0.055840,0.0047,-0.0109,0.0313,-0.02,0.000007
9.3500,0.023988,0.001151,0.056095,0.0002,-0.0111,0.0208,-0.02,0.000007
9.3600,0.023966,0.001039,0.056245,-0.0043,-0.0113,0.0102,-0.02,0.000007
9.3700,0.023898,0.000925,0.056289,-0.0088,-0.0115,-0.0003,-0.02,0.000007
9.3800,0.023786,0.000809,0.056228,-0.0132,-0.0116,-0.0109,-0.02,0.000007
9.3900,0.023629,0.000692,0.056061,-0.0177,-0.0118,-0.0214,-0.02,0.000007
9.4000,0.023428,0.000574,0.055788,-0.0221,-0.0119,-0.0319,-0.02,0.000007
9.4100,0.023183,0.000455,0.055411,-0.0265,-0.0120,-0.0424,-0.02,0.000007
9.4200,0.022895,0.000335,0.054930,-0.0308,-0.0120,-0.0527,-0.02,0.000007
9.4300,0.022563,0.000215,0.054347,-0.0350,-0.0121,-0.0630,-0.02,0.000007
9.4400,0.022190,0.000094,0.053661,-0.0392,-0.0121,-0.0731,-0.02,0.000007
9.4500,0.021774,-0.000027,0.052875,-0.0434,-0.0121,-0.0831,-0.02,0.000007
9.4600,0.021318,-0.000149,0.051989,-0.0474,-0.0121,-0.0929,-0.02,0.000007
9.4700,0.020822,-0.000269,0.051007,-0.0514,-0.0121,-0.1026,-0.02,0.000007
9.4800,0.020288,-0.000390,0.049929,-0.0552,-0.0120,-0.1120,-0.02,0.000007
9.4900,0.019715,-0.000510,0.048757,-0.0590,-0.0119,-0.1213,-0.02,0.000007
9.5000,0.019105,-0.000629,0.047495,-0.0626,-0.0118,-0.1303,-0.02,0.000007
9.5100,0.018460,-0.000746,0.046144,-0.0661,-0.0117,-0.1391,-0.02,0.000007
9.5200,0.017779,-0.000863,0.044706,-0.0695,-0.0116,-0.1476,-0.01,0.000007
9.5300,0.017066,-0.000978,0.043185,-0.0728,-0.0114,-0.1558,-0.01,0.000007
9.5400,0.016321,-0.001091,0.041583,-0.0759,-0.0112,-0.1637,-0.01,0.000007
9.5500,0.015545,-0.001203,0.039904,-0.0789,-0.0110,-0.1713,-0.01,0.000007
9.5600,0.014741,-0.001312,0.038151,-0.0817,-0.0108,-0.1786,-0.01,0.000007
9.5700,0.013908,-0.001419,0.036326,-0.0844,-0.0106,-0.1856,-0.01,0.000007
9.5800,0.013050,-0.001523,0.034434,-0.0869,-0.0103,-0.1922,-0.01,0.000007
9.5900,0.012168,-0.001625,0.032477,-0.0893,-0.0100,-0.1984,-0.01,0.000007
9.6000,0.011262,-0.001724,0.030460,-0.0915,-0.0097,-0.2043,-0.01,0.000007
9.6100,0.010336,-0.001819,0.028387,-0.0935,-0.0094,-0.2098,-0.01,0.000007
9.6200,0.009391,-0.001911,0.026261,-0.0954,-0.0091,-0.2149,-0.01,0.000007
9.6300,0.008428,-0.002000,0.024085,-0.0970,-0.0087,-0.2196,-0.01,0.000007
9.6400,0.007449,-0.002085,0.021866,-0.0985,-0.0083,-0.2239,-0.01,0.000007
9.6500,0.006457,-0.002166,0.019605,-0.0998,-0.0079,-0.2277,-0.01,0.000007
9.6600,0.005452,-0.002243,0.017308,-0.1009,-0.0075,-0.2312,-0.01,0.000007
9.6700,0.004438,-0.002316,0.014980,-0.1018,-0.0071,-0.2342,-0.01,0.000007
9.6800,0.003415,-0.002384,0.012623,-0.1026,-0.0066,-0.2368,-0.01,0.000007
9.6900,0.002387,-0.002448,0.010244,-0.1031,-0.0062,-0.2389,-0.01,0.000007
9.7000,0.001354,-0.002507,0.007845,-0.1034,-0.0057,-0.2406,-0.01,0.000007
9.7100,0.000318,-0.002562,0.005432,-0.1036,-0.0052,-0.2418,-0.00,0.000007
9.7200,-0.000717,-0.002612,0.003010,-0.1035,-0.0047,-0.2426,-0.00,0.000007
9.7300,-0.001752,-0.002656,0.000582,-0.1033,-0.0042,-0.2429,-0.00,0.000007
9.7400,-0.002782,-0.002696,-0.001847,-0.1029,-0.0037,-0.2428,-0.00,0.000007
9.7500,-0.003808,-0.002730,-0.004272,-0.1022,-0.0032,-0.2422,-0.00,0.000007
9.7600,-0.004826,-0.002759,-0.006688,-0.1014,-0.0027,-0.2411,-0.00,0.000007
9.7700,-0.005834,-0.002783,-0.009092,-0.1004,-0.0021,-0.2397,-0.00,0.000007
9.7800,-0.006832,-0.002801,-0.011478,-0.0992,-0.0016,-0.2377,0.00,0.000007
9.7900,-0.007816,-0.002814,-0.013843,-0.0978,-0.0011,-0.2353,0.00,0.000007
9.8000,-0.008786,-0.002822,-0.016181,-0.0962,-0.0005,-0.2325,0.00,0.000007
9.8100,-0.009739,-0.002824,-0.018488,-0.0945,0.0000,-0.2293,0.00,0.000007
9.8200,-0.010673,-0.002821,-0.020761,-0.0926,0.0006,-0.2256,0.00,0.000007
9.8300,-0.011588,-0.002812,-0.022994,-0.0905,0.0011,-0.2214,0.00,0.000007
9.8400,-0.012480,-0.002798,-0.025184,-0.0882,0.0017,-0.2169,0.00,0.000007
9.8500,-0.013349,-0.002778,-0.027327,-0.0858,0.0022,-0.2120,0.01,0.000007
9.8600,-0.014192,-0.002753,-0.029417,-0.0832,0.0027,-0.2066,0.01,0.000007
9.8700,-0.015009,-0.002723,-0.031453,-0.0804,0.0032,-0.2009,0.01,0.000007
9.8800,-0.015797,-0.002688,-0.033429,-0.0775,0.0037,-0.1948,0.01,0.000007
