t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,beta,delta_cmd,delta_actual,phase
0.0500,-0.311319,-0.529801,0.601227,-16.8086,-32.8993,23.8017,-0.221339,0.319257,1.188051,1
0.0510,-0.328322,-0.563099,0.624952,-17.0025,-33.2985,23.7254,-0.239085,0.332421,1.245376,1
0.0520,-0.345497,-0.596787,0.648589,-17.1756,-33.6876,23.6373,-0.257139,0.345850,1.302985,1
0.0530,-0.362825,-0.630855,0.672130,-17.3271,-34.0682,23.5409,-0.275496,0.359546,1.360866,1
0.0540,-0.380280,-0.665296,0.695570,-17.4555,-34.4413,23.4394,-0.294151,0.373508,1.419009,1
0.0550,-0.397839,-0.700104,0.718906,-17.5591,-34.8071,23.3363,-0.313101,0.387735,1.477409,1
0.0560,-0.415475,-0.735268,0.742141,-17.6356,-35.1647,23.2351,-0.332338,0.402229,1.536062,1
0.0570,-0.433157,-0.770781,0.765281,-17.6824,-35.5129,23.1396,-0.351855,0.416988,1.594966,1
0.0580,-0.450854,-0.806630,0.788335,-17.6967,-35.8492,23.0545,-0.371640,0.432014,1.654121,1
0.0590,-0.468529,-0.842801,0.811320,-17.6753,-36.1706,22.9850,-0.391677,0.447305,1.713532,1
0.0600,-0.486144,-0.879274,0.834258,-17.6149,-36.4732,22.9374,-0.411947,0.462862,1.773203,1
0.0610,-0.503656,-0.916027,0.857177,-17.5122,-36.7523,22.9193,-0.432426,0.478686,1.833146,1
0.0620,-0.521020,-0.953029,0.880117,-17.3641,-37.0023,22.9397,-0.453080,0.494775,1.893372,1
0.0630,-0.538188,-0.990246,0.903126,-17.1676,-37.2170,23.0094,-0.473872,0.511130,1.953902,1
0.0640,-0.555108,-1.027635,0.926267,-16.9205,-37.3892,23.1408,-0.494753,0.527751,2.014762,1
0.0650,-0.571730,-1.065146,0.949615,-16.6213,-37.5113,23.3484,-0.515666,0.544638,2.075986,1
0.0660,-0.587999,-1.102722,0.973264,-16.2698,-37.5753,23.6491,-0.536544,0.561791,2.137620,1
0.0670,-0.603867,-1.140295,0.997326,-15.8676,-37.5728,24.0615,-0.557307,0.579210,2.199723,1
0.0680,-0.619285,-1.177791,1.021932,-15.4182,-37.4961,24.6061,-0.577866,0.596894,2.262366,1
0.0690,-0.634213,-1.215129,1.047237,-14.9278,-37.3378,25.3054,-0.598120,0.614845,2.325640,1
0.0700,-0.648619,-1.252221,1.073420,-14.4054,-37.0921,26.1822,-0.617955,0.633062,2.389656,1
0.0710,-0.662482,-1.288976,1.100680,-13.8634,-36.7551,27.2602,-0.637252,0.651544,2.454543,1
0.0720,-0.675800,-1.325302,1.129242,-13.3176,-36.3257,28.5619,-0.655881,0.670293,2.520458,1
0.0730,-0.688587,-1.361108,1.159350,-12.7875,-35.8065,30.1079,-0.673710,0.689307,2.587578,1
0.0740,-0.700883,-1.396313,1.191265,-12.2959,-35.2047,31.9155,-0.690610,0.708588,2.656108,1
0.0750,-0.712752,-1.430846,1.225262,-11.8688,-34.5329,33.9971,-0.706453,0.728134,2.726277,1
0.0760,-0.724286,-1.464656,1.261621,-11.5345,-33.8101,36.3588,-0.721126,0.747946,2.798339,1
0.0770,-0.735609,-1.497718,1.300620,-11.3228,-33.0626,38.9990,-0.734535,0.767759,2.872570,1
0.0780,-0.746872,-1.530043,1.342528,-11.2630,-32.3243,41.9075,-0.746614,0.787305,2.949271,1
0.0790,-0.758255,-1.561680,1.387592,-11.3830,-31.6369,45.0638,-0.757333,0.806585,3.028759,1
0.0800,-0.769962,-1.592730,1.436029,-11.7065,-31.0502,48.4374,-0.766705,0.825600,3.111370,1
0.0810,-0.782213,-1.623351,1.488020,-12.2512,-30.6209,51.9903,-0.774795,0.844348,3.197460,1
0.0820,-0.795239,-1.653761,1.543700,-13.0266,-30.4101,55.6800,-0.781726,0.862831,3.287405,1
