t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,tau
0.3083,0.029051,0.209152,0.357225,-5.2537,-11.6792,16.4790,-3.0000
0.3125,0.043631,0.236188,0.367175,8.8795,17.5649,-6.0647,3.0000
0.3167,0.044519,0.236028,0.397179,-4.7153,-10.2063,15.1440,-2.3855
0.3208,0.053036,0.252991,0.412021,6.2715,12.8802,-3.4017,3.0000
0.3250,0.046340,0.239687,0.449280,-6.3163,-12.8187,16.3811,-3.0000
0.3292,0.056276,0.261928,0.457173,7.7708,16.4482,-6.7874,3.0000
0.3333,0.052079,0.256253,0.485731,-6.0235,-11.6857,15.0371,-3.0000
0.3375,0.060955,0.278989,0.489898,7.1064,15.8368,-7.4025,3.0000
0.3417,0.055524,0.273199,0.515902,-6.0857,-11.3417,14.4202,-3.0000
0.3458,0.062008,0.293718,0.518469,6.2140,14.7616,-7.6477,3.0000
0.3500,0.055073,0.287131,0.542740,-6.1427,-11.0229,13.8992,-2.9696
0.3542,0.059219,0.305276,0.544379,5.3462,13.6516,-7.6940,3.0000
0.3583,0.050988,0.297981,0.567508,-6.1426,-10.6603,13.4878,-2.8530
0.3625,0.052751,0.313150,0.569697,4.4386,12.3017,-7.2403,3.0000
0.3667,0.043117,0.304403,0.593303,-6.1818,-10.4710,13.4010,-2.7954
0.3708,0.043465,0.317987,0.596055,3.9216,11.5808,-6.9725,3.0000
0.3750,0.033406,0.309284,0.619915,-6.0546,-10.0493,13.3379,-2.6133
0.3792,0.032364,0.320637,0.625089,3.3202,10.4825,-6.0074,3.0000
0.3833,0.021588,0.310745,0.651450,-6.0153,-9.9111,13.7220,-2.5209
0.3875,0.020105,0.321231,0.659026,3.1350,10.0729,-5.3141,3.0000
0.3917,0.009571,0.311700,0.687419,-5.8316,-9.5532,14.0866,-2.3103
0.3958,0.007615,0.320686,0.699049,2.8529,9.2911,-3.9750,3.0000
0.4000,-0.003086,0.310240,0.731499,-5.7658,-9.4863,14.8403,-2.1989
0.4042,-0.004769,0.318896,0.746917,2.9255,9.1275,-2.9666,3.0000
0.4083,-0.014856,0.308980,0.782623,-5.5891,-9.2020,15.4819,-1.9835
0.4125,-0.016453,0.316663,0.803055,2.8574,8.5830,-1.4200,3.0000
0.4167,-0.026439,0.306121,0.843525,-5.5366,-9.1446,16.3766,-1.8563
0.4208,-0.027502,0.313693,0.868561,3.0329,8.4973,-0.1786,3.0000
0.4250,-0.036821,0.303785,0.912837,-5.3936,-8.8520,17.0853,-1.6307
0.4292,-0.037774,0.310463,0.943479,2.9853,7.9630,1.5582,3.0000
0.4333,-0.047056,0.300128,0.992735,-5.3641,-8.7010,17.9435,-1.4709
0.4375,-0.047761,0.306421,1.028683,3.0539,7.7004,3.0924,3.0000
0.4417,-0.056626,0.296733,1.082083,-5.2428,-8.2816,18.6037,0.0000
0.4458,-0.066782,0.284934,1.139730,-0.6441,0.5311,11.0047,0.0000
0.4500,-0.062992,0.298866,1.176661,1.8270,4.9955,7.5892,0.0000
0.4542,-0.052404,0.324999,1.204593,2.9378,6.9885,6.1882,0.0000
0.4583,-0.039068,0.356177,1.229189,3.3314,7.7374,5.7521,0.0000
0.4625,-0.025029,0.388905,1.253147,3.3705,7.8919,5.7706,0.0000
0.4667,-0.011283,0.421552,1.277712,3.2391,7.7748,5.9908,0.0000
0.4708,0.001695,0.453398,1.303396,3.0269,7.5429,6.2865,0.0000
0.4750,0.013686,0.484165,1.330352,2.7773,7.2716,6.5953,0.0000
0.4792,0.024589,0.513783,1.358558,2.5115,6.9968,6.8877,0.0000
0.4833,0.034365,0.542285,1.387911,2.2401,6.7359,7.1507,0.0000
0.4875,0.043007,0.569751,1.418277,1.9690,6.4968,7.3798,0.0000
0.4917,0.050526,0.596282,1.449512,1.7015,6.2834,7.5747,0.0000
0.4958,0.056943,0.621990,1.481479,1.4398,6.0972,7.7371,0.0000
0.5000,0.062286,0.646991,1.514048,1.1855,5.9388,7.8696,0.0000
0.5042,0.066590,0.671400,1.547100,0.9397,5.8083,7.9752,0.0000
0.5083,0.069892,0.695334,1.561056,0.7033,5.7051,8.0567,0.0000
0.5125,0.072233,0.718906,1.527334,0.4769,5.6287,8.1168,0.0000
0.5167,0.073657,0.742224,1.493411,0.2608,5.5782,8.1580,0.0000
0.5208,0.074207,0.765395,1.459354,0.0554,5.5527,8.1825,0.0000
0.5250,0.073927,0.788521,1.425233,-0.1395,5.5510,8.1924,0.0000
0.5292,0.072862,0.811697,1.391101,-0.3240,5.5719,8.1893,0.0000
0.5333,0.071053,0.835014,1.357010,-0.4986,5.6138,8.1748,0.0000
0.5375,0.068542,0.858557,1.323005,-0.6636,5.6755,8.1501,0.0000
